run_name,module,edge_module,fusion_module,loss_module,seed,epochs,device,selection_metric,best_valid_score,best_valid_accuracy,final_test_accuracy,final_test_f1_macro,final_test_balanced_accuracy,road_recall,field_recall,run_dir,test_prediction_path
PT0_no_pretrain_40ep,pretrain_ablation_40ep,current,current,current,42,40,cuda,valid_accuracy,0.8563932509360741,0.8563932509360741,0.781587860865553,0.5417175328228055,0.5475083391228108,0.13388413779774846,0.9611325404478731,cloud_results/pretrain_pt0_pt1_40ep/root/autodl-tmp/former-based+gnn-based_three/runs/PT0_no_pretrain_40ep,diagnostics/predictions/PT0_no_pretrain_40ep_test_predictions_detailed.csv
PT1_current_finetune_40ep,pretrain_ablation_40ep,current,current,current,42,40,cuda,valid_accuracy,0.8555737986652704,0.8555737986652704,0.7816193202671952,0.5244582905377074,0.5376452638176086,0.10653717930134803,0.9687533483338691,cloud_results/pretrain_pt0_pt1_40ep/root/autodl-tmp/former-based+gnn-based_three/runs/PT1_current_finetune_40ep,diagnostics/predictions/PT1_current_finetune_40ep_test_predictions_detailed.csv
PT2_edge_weight_finetune_40ep_fixed,pretrain_ablation_40ep_fixed,edge_weight,current,current,42,40,cuda,valid_accuracy,0.8797287940046953,0.8797287940046953,0.8978932687366953,0.8462936982908027,0.8385646451477795,0.7337295260182635,0.9433997642772957,cloud_results/pretrain_pt2_pt3_fixed/root/autodl-tmp/former-based+gnn-based_three/runs/PT2_edge_weight_finetune_40ep_fixed,diagnostics/predictions/PT2_edge_weight_finetune_40ep_fixed_test_predictions_detailed.csv
PT3_edge_type_weight_finetune_40ep_fixed,pretrain_ablation_40ep_fixed,edge_type_weight,current,current,42,40,cuda,valid_accuracy,0.8787514657461472,0.8787514657461472,0.8918635500886106,0.8371602592451546,0.829528018624855,0.7193796202348166,0.9396764170148934,cloud_results/pretrain_pt2_pt3_fixed/root/autodl-tmp/former-based+gnn-based_three/runs/PT3_edge_type_weight_finetune_40ep_fixed,diagnostics/predictions/PT3_edge_type_weight_finetune_40ep_fixed_test_predictions_detailed.csv
PT1G_finetune_40ep,pretrained_graph_edges_40ep,current+pretrained_graph_edges,current,current,42,40,cuda,valid_accuracy,0.8571149700011451,0.8571149700011451,0.8695588343243045,0.7818718478772397,0.7513928602972646,0.5425907136299947,0.9601950069645344,runs/PT1G_finetune_40ep,diagnostics/predictions/PT1G_finetune_40ep_test_predictions_detailed.csv
PT2G_finetune_40ep,pretrained_graph_edges_40ep,edge_weight+pretrained_graph_edges,current,current,42,40,cuda,valid_accuracy,0.8809241349661838,0.8809241349661838,0.9003471020647854,0.8496406224703692,0.8410745822300478,0.7363385997970721,0.9458105646630237,runs/PT2G_finetune_40ep,diagnostics/predictions/PT2G_finetune_40ep_test_predictions_detailed.csv
PT3G_finetune_40ep,pretrained_graph_edges_40ep,edge_type_weight+pretrained_graph_edges,current,current,42,40,cuda,valid_accuracy,0.8787965739633521,0.8787965739633521,0.8933526284330072,0.8391314814672557,0.8309154810138297,0.7205875247620428,0.9412434372656167,runs/PT3G_finetune_40ep,diagnostics/predictions/PT3G_finetune_40ep_test_predictions_detailed.csv
PT1G_W_default,pt1gw_pt2g_merge,current_static_edge_weight,current,current,42,40,cuda,valid_accuracy,0.8540401494569856,0.8540401494569856,0.8411300217069871,0.7150155924310211,0.6835953690206182,0.40522781079383485,0.9619629272474017,runs/PT1G_W_default_finetune_40ep,
PT2G_merge_d05,pt1gw_pt2g_merge,edge_weight_merge_cache,current,current,42,40,cuda,valid_accuracy,0.8961396119361518,0.8961396119361518,0.9093796684409764,0.7443562654070769,0.7094039704462611,0.4473845399975499,0.9714234008949724,runs/PT2G_merge_d05_finetune_40ep,
PT2G_MSC_v1_finetune_40ep,PT2G_MSC_v1,edge_weight,segment_context_msc,current,42,40,cuda,valid_accuracy,0.9250240867744961,0.9250240867744961,0.9160558299514476,0.8761072669054182,0.8749,0.8022,0.9476,runs/PT2G_MSC_v1_finetune_40ep,
PT2G_MSC_SD_v1_finetune_40ep,PT2G_MSC_aux_v1,edge_weight+pretrained_graph_edges,segment_context_msc_sd,current,42,40,cuda,valid_accuracy,0.9256781443080613,0.9256781443080613,0.9123121611560282,0.8706206603901558,0.8695469575272813,0.7939798038363047,0.9451141112182578,runs/PT2G_MSC_SD_v1_finetune_40ep,diagnostics/PT2G_MSC_SD_v1_error_analysis/test_point_predictions_with_features.csv
PT2G_MSC_RC_v1_finetune_40ep,PT2G_MSC_aux_v1,edge_weight+pretrained_graph_edges,segment_context_msc_rc,current,42,40,cuda,valid_accuracy,0.9280387641140704,0.9280387641140704,0.9223372238126698,0.8854926037590827,0.884644760442519,0.81804126201865,0.9512482588663881,runs/PT2G_MSC_RC_v1_finetune_40ep,diagnostics/PT2G_MSC_RC_v1_error_analysis/test_point_predictions_with_features.csv
PT2G_MSC_RCSD_v1_finetune_40ep,PT2G_MSC_aux_v1,edge_weight+pretrained_graph_edges,segment_context_msc_rcsd,current,42,40,cuda,valid_accuracy,0.9234227757963576,0.9234227757963576,0.9071737922211386,0.8663119050995857,0.8743153062493416,0.8162535633183553,0.9323770491803278,runs/PT2G_MSC_RCSD_v1_finetune_40ep,diagnostics/PT2G_MSC_RCSD_v1_error_analysis/test_point_predictions_with_features.csv
